Año,Generacion Mx [MWh],Generacion mundo [TWh],Generacion Mx [GWh],Capacidad instalada mundo [GW],Capacidad instalada Mx [MW]
2010,0,32,28,28.3,
2011,0,63.6,39,48.9,
2012,2076.42,98.9,30,95.6,
2013,13094.26,139.5,81,132.7,
2014,12694.21,184.6,135.49,174.4,114.16
2015,12756.87,244.9,190.26,225.3,170.24
2016,12352.82,321.1,214.79,308.7,388.61
2017,10887.86,431.8,1149,408.5,460.86
2018,10260.62,554.4,3211.71,510.3,1646.55
2019,9956.12,684,9964.32,627.3,3646
2020,9221.68,825.5,15835.62,778.5,5149
2021,8044.65,1020.2,20194.91,949,5955
2022,6795.8,1291.9,20342,1177.3,6535
2023,273674.51,1612,,1550,7469
2024,55053.46,2065.7,,1949.4,
