,,"Permisos Vigentes de Generación, Importación y Exportación de Energía Eléctrica",,,,,,,,,,,,,,,
,,Comisión Reguladora de Energía / Unidad de Electricidad,,,,,,,,,,,,,,,
,,Actualización: 31 de agosto de 2024,,,,,,,,,,,,,,,
Num,Permisionario,Modalidad,Fecha de Otorgamiento,Número de Permiso,Capacidad Autorizada (MW),Generación Estimada (GWh/Año),Inversion Estimada (Millones de Dólares),Fecha de Entrada en Operación,Energético Primario,Actividad Economica,Tecnología,Estado Actual,Entidad Federativa,Dirección,Empresa Líder,País de Origen,Subasta
1,"Industria del Alcalí, S. A. de C. V.",U.P.C.,22/04/1963,510,1.5,10.4,$1.80,22/04/1963,Gas Natural,Minero,Termoeléctrica Convencional,En operación,Nuevo León,"Km. 9.5 Carretera a García, C.P. 64000, García, Nuevo León",Vitro,México,
2,"Ingenio Mahuixtlán, S. A. de C. V.",U.P.C.,28/02/1969,649,2,4.72,$2.40,28/02/1969,Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio conocido, Congregación Mahuixtlan, C.P. 91608, Coatepec, Veracruz",Zucarmex,México,
3,"Central El Potrero, S. A. de C. V.",U.P.C.,15/08/1974,859,10,21.4,$12.00,15/08/1974,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Calle principal s/n, Congregación Gral. Miguel Alemán, C.P. 94963, Atoyac, Veracruz",Beta San Miguel,México,
4,"Bio Pappel Scribe, S. A. de C. V.",U.P.C.,06/04/1977,915,3.5,28.87,$4.20,06/04/1977,Combustóleo,Papelero,Bioenergía,En operación,Michoacán,"Domicilio Conocido en Ejido de Cointzio, C.P. 58341, Morelia, Michoacán",Bio Pappel,México,
5,"Tereftalatos Mexicanos, S. A. ",U.P.C.,13/01/1978,1011,21,107.89,$23.00,13/01/1978,Combustóleo,Químico,Termoeléctrica Convencional,En operación,Veracruz,"Km. 34 Carretera Federal 180, Col. Cosoleacaque, C.P. 96340, Cosoleacaque, Veracruz",Alpek,México,
6,"Arcelormittal Las Truchas, S. A. de C. V.",U.P.C.,13/01/1978,1016,21.6,120,$25.92,13/01/1978,Combustóleo,Siderúrgico,Termoeléctrica Convencional,En operación,Michoacán,"Domiclio Conocido, Lázaro Cárdenas, Michoacán",Arcelor Mittal,Luxemburgo,
7,"Central La Providencia, S. A. de C. V.",U.P.C.,13/01/1978,1031,7,25.7,$8.40,13/01/1978,Combustóleo y Bagazo de Caña,Azucarero,Bioenergía,En operación,Veracruz,"Domicilio conocido, La Providencia, C.P. 94920, Cuichapa, Veracruz",Beta San Miguel,México,
